state,category,characteristics,total,wrent,noconf,slightconf,modconf,highconf,deferred,didnottenure
US,Total,Total,"75,266,101","3,798,689","8,918,242","12,571,649","18,070,862","30,643,777","938,815","26,676,331"
US,Age,    18 - 24,"7,313,446","286,454","639,268","1,172,462","2,366,278","2,756,071","72,011","2,625,570"
US,Age,    25 - 39,"33,959,243","1,546,625","4,399,374","5,968,053","7,623,589","13,842,252","500,551","8,137,828"
US,Age,    40 - 54,"17,607,031","969,268","2,469,898","3,292,263","4,272,341","6,251,731","282,027","6,160,146"
US,Age,    55 - 64,"9,157,888","501,794","989,617","1,423,160","2,213,671","3,897,265","51,138","4,476,699"
US,Age,    65 and above,"7,228,493","494,549","420,084","715,712","1,594,982","3,896,458","33,088","5,276,088"
US,Sex,    Male,"34,772,104","1,917,582","4,169,523","5,147,850","8,134,709","14,857,509","514,882","11,927,883"
US,Sex,    Female,"40,493,997","1,881,108","4,748,719","7,423,800","9,936,152","15,786,268","423,933","14,748,448"
US,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"16,075,749","708,252","2,723,391","3,765,786","4,289,939","4,383,535","115,420","5,834,066"
US,Hispanic origin and Race,"    White alone, not Hispanic","37,772,948","2,119,711","3,020,518","4,193,252","8,471,643","19,355,953","528,322","14,293,951"
US,Hispanic origin and Race,"    Black alone, not Hispanic","14,221,712","650,218","2,331,905","3,340,880","3,580,659","3,952,208","220,040","4,084,623"
US,Hispanic origin and Race,"    Asian alone, not Hispanic","3,215,458","122,829","308,873","626,124","609,280","1,530,841","16,760","1,400,182"
US,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","3,980,236","197,681","533,556","645,608","1,119,341","1,421,240","58,273","1,063,508"
US,Education,    Less than high school,"7,630,908","513,201","1,482,489","1,871,459","1,973,579","1,588,923","55,419","3,033,298"
US,Education,    High school or GED,"26,587,535","1,279,935","3,706,781","5,046,450","6,599,701","9,522,006","343,938","10,016,935"
US,Education,    Some college/associateÍs degree,"24,354,295","1,322,092","2,792,612","4,232,609","6,489,522","9,112,126","332,959","7,735,679"
US,Education,    BachelorÍs degree or higher,"16,693,364","683,462","936,360","1,421,132","3,008,059","10,420,722","206,499","5,890,419"
US,Marital status,    Married,"25,834,503","1,177,934","2,965,813","3,819,950","5,805,097","11,777,371","219,162","12,803,992"
